"","x"
"1",4
"2",1
"3",4
"4",3
"5",5
"6",2
"7",1
"8",1
"9",4
"10",3
"11",1
"12",1
"13",1
"14",2
"15",2
"16",4
"17",2
"18",3
"19",2
"20",1
"21",3
"22",2
"23",3
"24",4
"25",6
"26",1
"27",5
"28",4
"29",6
"30",2
"31",1
"32",4
"33",4
"34",2
"35",4
"36",5
"37",2
"38",4
"39",3
"40",4
"41",1
"42",5
"43",1
"44",2
"45",3
"46",5
"47",1
"48",2
"49",3
"50",2
"51",5
"52",5
"53",6
"54",3
"55",5
"56",3
"57",5
"58",4
"59",6
"60",4
"61",6
"62",5
"63",3
"64",5
"65",6
"66",3
"67",1
"68",1
"69",4
"70",5
"71",6
"72",4
"73",3
"74",3
"75",3
"76",1
"77",4
"78",4
"79",5
"80",4
"81",2
"82",4
"83",6
"84",6
"85",2
"86",3
"87",3
"88",4
"89",2
"90",3
"91",1
"92",5
"93",3
"94",5
"95",2
"96",4
"97",6
"98",5
"99",3
"100",6
"101",2
"102",5
"103",5
"104",3
"105",1
"106",4
"107",3
"108",4
"109",6
"110",6
"111",4
"112",6
"113",3
"114",4
"115",5
"116",6
"117",5
"118",2
"119",6
"120",1
"121",6
"122",1
"123",4
"124",2
"125",4
"126",3
"127",1
"128",5
"129",3
"130",5
"131",2
"132",2
"133",1
"134",3
"135",5
"136",3
"137",5
"138",6
"139",5
"140",6
"141",2
"142",2
"143",3
"144",5
"145",6
"146",3
"147",1
"148",3
"149",3
"150",5
"151",6
"152",5
"153",6
"154",3
"155",6
"156",5
"157",5
"158",2
"159",1
"160",5
"161",2
"162",5
"163",5
"164",4
"165",1
"166",4
"167",3
"168",2
"169",5
"170",4
"171",6
"172",5
"173",6
"174",6
"175",1
"176",1
"177",6
"178",5
"179",5
"180",4
"181",4
"182",4
"183",3
"184",1
"185",6
"186",5
"187",6
"188",6
"189",6
"190",3
"191",2
"192",3
"193",5
"194",5
"195",5
"196",2
"197",5
"198",3
"199",6
"200",4
"201",5
"202",5
"203",2
"204",4
"205",3
"206",2
"207",3
"208",5
"209",3
"210",3
"211",5
"212",6
"213",5
"214",3
"215",1
"216",1
"217",5
"218",6
"219",4
"220",5
"221",6
"222",1
"223",4
"224",1
"225",6
"226",1
"227",5
"228",5
"229",5
"230",6
"231",4
"232",6
"233",5
"234",1
"235",1
"236",4
"237",6
"238",5
"239",5
"240",3
"241",5
"242",4
"243",6
"244",4
"245",5
"246",1
"247",6
"248",1
"249",3
"250",2
"251",2
"252",6
"253",5
"254",3
"255",2
"256",3
"257",4
"258",6
"259",5
"260",1
"261",1
"262",5
"263",5
"264",3
"265",5
"266",4
"267",2
"268",5
"269",2
"270",6
"271",3
"272",6
"273",6
"274",6
"275",3
"276",5
"277",5
"278",1
"279",1
"280",1
"281",6
"282",3
"283",5
"284",1
"285",6
"286",1
"287",6
"288",2
"289",6
"290",3
"291",6
"292",2
"293",3
"294",6
"295",4
"296",4
"297",5
"298",6
"299",2
"300",4
"301",5
"302",6
"303",6
"304",4
"305",5
"306",1
"307",1
"308",4
"309",1
"310",5
"311",5
"312",6
"313",2
"314",4
"315",3
"316",5
"317",3
"318",5
"319",2
"320",2
"321",3
"322",4
"323",1
"324",1
"325",6
"326",6
"327",2
"328",4
"329",3
"330",4
"331",6
"332",6
"333",3
"334",4
"335",6
"336",4
"337",1
"338",1
"339",1
"340",3
"341",4
"342",5
"343",5
"344",4
"345",1
"346",6
"347",4
"348",5
"349",3
"350",6
"351",5
"352",3
"353",6
"354",5
"355",2
"356",4
"357",1
"358",3
"359",5
"360",4
"361",4
"362",3
"363",6
"364",4
"365",4
"366",2
"367",1
"368",3
"369",4
"370",4
"371",4
"372",1
"373",3
"374",4
"375",6
"376",1
"377",2
"378",6
"379",2
"380",6
"381",1
"382",3
"383",2
"384",4
"385",5
"386",5
"387",3
"388",3
"389",6
"390",6
"391",6
"392",6
"393",1
"394",2
"395",4
"396",4
"397",5
"398",1
"399",2
"400",4
"401",5
"402",5
"403",5
"404",4
"405",6
"406",5
"407",5
"408",3
"409",2
"410",5
"411",2
"412",4
"413",1
"414",4
"415",6
"416",5
"417",2
"418",4
"419",5
"420",1
"421",3
"422",2
"423",6
"424",5
"425",6
"426",2
"427",3
"428",2
"429",1
"430",2
"431",3
"432",1
"433",4
"434",3
"435",6
"436",5
"437",4
"438",4
"439",2
"440",5
"441",2
"442",2
"443",4
"444",6
"445",2
"446",5
"447",5
"448",3
